code,name
AAR,Aarhus Tirstrup Airport
ADB,Izmir Adnan Menderes Airport
ADL,Adelaide Airport
AKL,Auckland International Airport
AMM,Amman Queen Alia International Airport
APW,Apia Faleolo Airport
ARN,Stockholm Arlanda Airport
ATH,Athens Airport
ATL,Atlanta Hartsfield-Jackson Intl Airport
AUH,Abu Dhabi International Airport
AUS,Austin-Bergstrom International Airport
BCN,Barcelona Airport
BDA,Bermuda L.F Wade International Airport
BGW,Baghdad Airport
BGY,Milan Bergamo/Orio al Serio Airport
BHX,Birmingham International Airport
BJV,Bodrum Milas Airport
BOD,Bordeaux Merignac Airport
BOS,Boston Logan International Airport
BRU,Brussels Airport
BSL,Basel Airport
BTS,Bratislava M.R.Stefanik Airport
BVA,Paris Beauvais-Tille Airport
CAE,Columbia Metropolitan Airport
CAK,Akron/Canton Ohio Regional Airport
CDG,Paris Charles de Gaulle Airport
CGK,Jakarta Soekarno-Hatta Airport
CGN,Cologne/Bonn Airport
CIA,Rome Ciampino Airport
CJU,Jeju International Airport
CLE,Cleveland Hopkins International Airport
CMB,Colombo Bandaranaike Airport
CMH,Columbus Port Columbus Intl Airport
CMN,Casablanca Mohammed V Airport
CNF,Belo Horizonte Tancredo Neves Int Airport
COS,Colorado Springs Peterson Field Airport
CPH,Copenhagen Kastrup Airport
CRK,Clark International Airport
CRL,Brussels S. Charleroi Airport
CTS,Sapporo Chitose Airport
CVG,Cincinnati Northern Kentucky Intl Airport
CXR,Nha Trang Cam Ranh Airport
DAY,Dayton Intl Airport
DCA,Washington Ronald Reagan National Airport
DEN,Denver Intl Airport
DFW,Dallas/Fort Worth Intl Airport
DME,Moscow Domodedovo Airport
DRW,Darwin Airport
DTW,Detroit Wayne County
DUR,Durban International Airport
DUS,Duesseldorf International Airport
EIN,Eindhoven Airport
ESB,Ankara Esenboga Airport
EWR,Newark Liberty International Airport
EZE,Buenos Aires Ministro Pistarini Airport
FCO,Rome Fiumicino Airport
FIH,Kinshasa N'Djili Airport
FLL,Fort Lauderdale/Hollywood Intl Airport
FLR,Florence Airport
FRA,Frankfurt International Airport
GEG,Spokane International Airport
GIG,Rio de Janeiro International Airport
GLA,Glasgow International Airport
GMP,Seoul Gimpo International Airport
GOT,Goteborg Landvetter Airport
GRU,Sao Paulo Guarulhos Intl Airport
GSP,Greenville/Spartanburg Airport
GUM,Guam Antonio B Won Pat International Airport
GYD,Baku Heydar Aliyev International Airport
HAH,Moroni International Prince Said Airport
HAJ,Hannover Airport
HAM,Hamburg Airport
HBE,Alexandria Borg el Arab Airport
HIJ,Hiroshima International Airport
HKG,Hong Kong International Airport
HND,Tokyo Haneda Airport
HNL,Honolulu International Airport
HOU,Houston Hobby Airport
IAD,Washington Dulles International Airport
IAH,Houston George Bush Intercontinental Airport
ICN,Seoul Incheon International Airport
ICT,Wichita Mid-Continent Airport
IEV,Kiev Zhulyany Airport
IKA,Tehran Imam Khomeini International Airport
IST,Istanbul Ataturk Airport
ITM,Osaka Itami Airport
JAX,Jacksonville International Airport
JFK,New York John F. Kennedy International Airport
JNB,Johannesburg O.R. Tambo International Airport
KBP,Kiev Borispol Airport
KEF,Reykjavik Keflavik International Airport
KIN,Kingston Norman Manley Intl Airport
KIX,Osaka Kansai International Airport
KUL,Kuala Lumpur International Airport
LAS,Las Vegas McCarran International Airport
LAX,Los Angeles International Airport
LBB,Lubbock Preston Smith International Airport
LCY,London City Airport
LED,St Petersburg Pulkovo Airport
LGA,New York La Guardia Airport
